CourseName,University,Platform,Year,LyticsDB,ActivityLogsCoursera,StartTime,EndTime,NumWeeks,STEMvsNot,Difficulty
maththink-002,Stanford,coursera,2013,coursera-20130701-2048-maththink-002,20130701-2048-maththink-002_eventing.gz,1361948400,1369810800,10,STEM,1
childnutrition-001,Stanford,coursera,2013,coursera-20130701-1010-childnutrition-001,20130701-1010-childnutrition-001_eventing.gz,1367391600,1372834800,6,nonSTEM,1
genomescience-placeholder,Penn,coursera,2013,coursera-20130430-2129-12-001-genomescience,,1349852400,1363158000,15,STEM,
cs101,Stanford,coursera,2013,coursera-20130422-0337-12feb-cs101,,1334732400,1340780400,7,STEM,1
startup-001,Stanford,coursera,2013,coursera-20130701-1234-startup-001,20130701-1234-startup-001_eventing.gz,1371020400,1374649200,3,STEM,
compilers-003,Stanford,coursera,2013,coursera-20130701-1410-compilers-003,20130701-1410-compilers-003_eventing.gz,1360738800,1370415600,10,STEM,2
pgm,Stanford,coursera,2013,coursera-20130421-2305-12jan-pgm,,1331103600,1361948400,13,STEM,3
einstein-001,Stanford,coursera,2013,coursera-20130701-1010-einstein-001,20130701-1010-einstein-001_eventing.gz,1364972400,1371625200,9,STEM,1
intrologic-2012-002,Stanford,coursera,2013,coursera-20130701-1434-12-002-intrologic,20130701-1434-12-002-intrologic_eventing.gz,1348038000,1354086000,10,STEM,1
algo2-2012-001,Stanford,coursera,2013,coursera-20130422-1151-12-001-algo2,12-001-algo2-eventing.gz,1354086000,1361343600,11,STEM,2
algo-2012-002,Stanford,coursera,2013,coursera-20130422-0809-12-002-algo,12-002-algo-eventing.gz,1338966000,1344409200,9,STEM,2
automata,Stanford,coursera,2013,coursera-20130422-0459-12mar-automata,,1334732400,1340175600,8,STEM,2
crypto-005,Stanford,coursera,2013,coursera-20130422-1039-005-crypto,005-crypto-eventing.gz,1357714800,1363762800,9,STEM,2
gamification-placeholder,Penn,coursera,2013,coursera-20130430-2129-12-001-gamification,,1345618800,1350457200,7,STEM,
intrologic,Stanford,coursera,2013,coursera-20130422-0522-12mar-intrologic,,1334732400,1341385200,8,STEM,1
ml,Stanford,coursera,2013,coursera-20130422-0245-12jan-ml,,1334732400,1352876400,12,STEM,2
operations-placeholder,Penn,coursera,2013,coursera-20130430-2148-12-001-operations,,1348038000,1354690800,10,,
gametheory-2012-002,Stanford,coursera,2013,coursera-20130422-1204-12-002-gametheory,12-002-gametheory-eventing.gz,1357110000,1363158000,10,STEM,2
intrologic-003,Stanford,coursera,2013,coursera-20130701-1256-intrologic-003,20130701-1256-intrologic-003_eventing.gz,1364367600,1369810800,9,STEM,1
design-placeholder,Penn,coursera,2013,coursera-20130430-2128-12-001-design,,1351062000,1367996400,8,,
crypto-2012-002,Stanford,coursera,2013,coursera-20130422-0720-12-002-crypto,12-002-crypto-eventing.gz,1338966000,1345014000,9,STEM,2
crypto-2012-003,Stanford,coursera,2013,coursera-20130701-1546-12-003-crypto,20130701-1546-12-003-crypto_eventing.gz,1345618800,1351666800,9,STEM,2
organalysis-2012-001,Stanford,coursera,2013,coursera-20130422-2135-12-001-organalysis,12-001-organalysis-eventing.gz,1348038000,1357110000,13,,1
compilers-selfservice,Stanford,coursera,2013,coursera-20130422-2135-12-selfservice-compilers,,,,,STEM,2
pgm-003,Stanford,coursera,2013,coursera-20130701-1114-pgm-003,20130701-1114-pgm-003_eventing.gz,1365577200,1372230000,10,STEM,3
algo,Stanford,coursera,2013,coursera-20130421-2305-12jan-algo1,,1331103600,1335942000,8,STEM,2
hci-003,Stanford,coursera,2013,coursera-20130701-1010-hci-003,,1364367600,1372230000,9,STEM,1
crypto-006,Stanford,coursera,2013,coursera-20130701-1010-crypto-006,20130701-1010-crypto-006_eventing.gz,1363762800,1374649200,10,STEM,2
democraticdev-001,Stanford,coursera,2013,coursera-20130701-1010-democraticdev-001,20130701-1010-democraticdev-001_eventing.gz,1364972400,1374649200,12,nonSTEM,
cs101-selfservice,Stanford,coursera,2013,coursera-20130422-2135-12-selfservice-cs101,,1343804400,1340175600,18,STEM,1
sciwrite-2012-001,Stanford,coursera,2013,coursera-20130701-1658-12-001-sciwrite,20130701-1658-12-001-sciwrite_eventing.gz,1348038000,1354690800,9,,1
ml-2012-002,Stanford,coursera,2013,coursera-20130422-0919-12-002-ml,12-002-ml-eventing.gz,1345014000,1363158000,12,STEM,2
hci,Stanford,coursera,2013,coursera-20130422-0632-12jan-hci,,1337756400,1342594800,7,STEM,1
worldmusic-placeholder,Penn,coursera,2013,coursera-20130430-2127-12-001-worldmusic,,1342594800,1348038000,8,nonSTEM,
algo-003,Stanford,coursera,2013,coursera-20130422-1206-12-003-algo,12-003-algo-eventing.gz,1358924400,1364367600,9,STEM,2
crypto,Stanford,coursera,2013,coursera-20130421-2305-12jan-crypto,,1331103600,1339570800,10,STEM,2
compilers,Stanford,coursera,2013,coursera-20130422-0530-12apr-compilers,,1335337200,1368601200,10,STEM,2
crypto-004,Stanford,coursera,2013,coursera-20130422-0936-002-crypto,002-crypto-eventing.gz,1350457200,1362553200,20,STEM,2
hci-2012-002,Stanford,coursera,2013,coursera-20130701-1518-12-002-hci,20130701-1518-12-002-hci_eventing.gz,1348038000,1377068400,10,STEM,1
sustainableag-placeholder,UF,coursera,2013,coursera-20130701-1547-001-sustainableag,20130701-1547-001-sustainableag_eventing.gz,1361948400,1368601200,10,nonSTEM,
gametheory,Stanford,coursera,2013,coursera-20130421-2305-12feb-gametheory,,1331708400,1337756400,7,STEM,2
compilers-2012-002,Stanford,coursera,2013,coursera-20130701-1426-12-002-compilers,20130701-1426-12-002-compilers_eventing.gz,1349247600,1355900400,10,STEM,2
pgm-2012-002,Stanford,coursera,2013,coursera-20130701-1601-12-002-pgm,20130701-1601-12-002-pgm_eventing.gz,1348038000,1378278000,12,STEM,3
maththink-2012-001,Stanford,coursera,2013,coursera-20130701-1103-12-001-maththink,20130701-1103-12-001-maththink_eventing.gz,1348038000,1352271600,7,STEM,1
nlp,Stanford,,,,,,,,,
db,Stanford,,,,,,,,,
security,Stanford,,,,,,,,,
nlp-002,Stanford,,,,,,,,,
cs101-002,Stanford,,,,,,,,,
automata-002,Stanford,,,,,,,,,
crypto2-2013-001,Stanford,,,,,,,,,
db-2012-fall,Stanford,,,,,,,,,
organalysis-2012-fall,Stanford,,,,,,,,,
hci-2012-fall,Stanford,,,,,,,,,
hci-basics-2012-fall,Stanford,,,,,,,,,
smartproducts-2012-fall,,,,,,,,,,
ml-003,Stanford,,,,,,,,,
ggp-001,,,,,,,,,,
emscardiology-001,,,,,,,,,,
cs124-001,,,,,,,,,,
gametheory-003,,,,,,,,,,
cme184-001,,,,,,,,,,
me218b-001,,,,,,,,,,
ps147-001,,,,,,,,,,
testas-001,,,,,,,,,,
environphys-001,,,,,,,,,,
environphys-002,,,,,,,,,,
algo2-002,Stanford,,,,,,,,,
networksonline-001,,,,,,,,,,
vidmooc-001,,,,,,,,,,
me218c-001,,,,,,,,,,
econ291-001,,,,,,,,,,
cs228-001,Stanford,,,,,,,,,
cs276-001,Stanford,,,,,,,,,
