CourseDB, # Forums, # Threads, # Posts, # Comments, # Contributors, Avg. # Posts Per Thread, Median # Posts Per Thread, Avg. # Comments Per Thread, Median # Comments Per Thread
coursera-20130422-0936-002-crypto_anonymized_forum, 11, 945, 4279, 2460, 1815, 4.52804232804, 2.0, 5.94202898551, 2.0
coursera-20130422-1206-12-003-algo_anonymized_forum, 22, 827, 3857, 2527, 1379, 4.6638452237, 3.0, 7.22, 3.0
coursera-20130701-1547-001-sustainableag_anonymized_forum, 32, 2070, 7695, 3618, 892, 3.71739130435, 2.0, 5.43243243243, 2.0
coursera-20130701-1234-startup-001_anonymized_forum, 24, 2735, 13697, 7253, 6390, 5.00804387569, 3.0, 7.22410358566, 3.0
coursera-20130421-2305-12jan-pgm_anonymized_forum, 22, 2881, 10444, 9274, 1997, 3.62513016314, 2.0, 6.31313818924, 3.0
coursera-20130701-1410-compilers-003_anonymized_forum, 12, 452, 1572, 873, 356, 3.47787610619, 3.0, 4.34328358209, 2.0
coursera-20130701-1010-democraticdev-001_anonymized_forum, 78, 1606, 7751, 4560, 2195, 4.82627646326, 2.0, 8.57142857143, 3.0
coursera-20130422-0530-12apr-compilers_anonymized_forum, 9, 1235, 4612, 3572, 1141, 3.73441295547, 3.0, 4.66928104575, 2.0
coursera-20130422-0459-12mar-automata_anonymized_forum, 10, 451, 1535, 1304, 431, 3.40354767184, 2.0, 4.82962962963, 2.0
coursera-20130422-1151-12-001-algo2_anonymized_forum, 21, 802, 3177, 3234, 969, 3.96134663342, 2.0, 7.33333333333, 3.0
coursera-20130701-1010-hci-003_anonymized_forum, 35, 1518, 5822, 1873, 1800, 3.83530961792, 2.0, 4.31566820276, 2.0
coursera-20130701-1256-intrologic-003_anonymized_forum, 70, 1064, 5028, 3344, 1747, 4.72556390977, 3.0, 7.38189845475, 3.0
coursera-20130430-2128-12-001-design_anonymized_forum, 21, 1270, 7213, 3959, 2467, 5.67952755906, 3.0, 6.17628705148, 2.0
coursera-20130701-1010-childnutrition-001_anonymized_forum, 20, 1183, 6487, 3040, 1959, 5.48351648352, 3.0, 5.86872586873, 2.0
coursera-20130701-1426-12-002-compilers_anonymized_forum, 12, 753, 2623, 1425, 734, 3.4833997344, 2.0, 3.69170984456, 2.0
coursera-20130422-2135-12-selfservice-compilers_anonymized_forum, 9, 93, 268, 61, 118, 2.88172043011, 2.0, 2.44, 2.0
coursera-20130430-2129-12-001-gamification_anonymized_forum, 13, 3138, 20380, 10283, 7509, 6.49458253665, 2.0, 8.41489361702, 2.0
coursera-20130430-2129-12-001-genomescience_anonymized_forum, 9, 712, 2984, 1277, 981, 4.19101123596, 2.0, 4.89272030651, 2.0
coursera-20130701-1434-12-002-intrologic_anonymized_forum, 70, 1324, 6964, 4886, 2844, 5.25981873112, 2.0, 7.67032967033, 3.0
coursera-20130506-1717-compilers-003_anonymized_forum, 9, 447, 1550, 864, 352, 3.46756152125, 3.0, 4.36363636364, 2.0
coursera-20130422-2135-12-selfservice-cs101_anonymized_forum, 6, 132, 574, 193, 364, 4.34848484848, 2.0, 3.9387755102, 2.0
coursera-20130422-1204-12-002-gametheory_anonymized_forum, 6, 1390, 6956, 4555, 2845, 5.00431654676, 3.0, 8.10498220641, 2.0
coursera-20130701-1114-pgm-003_anonymized_forum, 30, 922, 3158, 1932, 767, 3.4251626898, 2.0, 5.03125, 3.0
coursera-20130421-2305-12jan-algo1_anonymized_forum, 10, 1233, 5563, 3866, 2305, 4.51175993512, 3.0, 6.31699346405, 3.0
coursera-20130422-2135-12-001-organalysis_anonymized_forum, 39, 4071, 21034, 8740, 5927, 5.16678948661, 2.0, 8.04788213628, 2.0
coursera-20130422-0720-12-002-crypto_anonymized_forum, 8, 899, 4111, 2341, 1588, 4.57285873192, 2.0, 5.39400921659, 2.0
coursera-20130531-1829-12-001-maththink_anonymized_forum, 52, 3239, 17603, 16236, 4924, 5.43470206854, 2.0, 10.1285090455, 3.0
coursera-20130701-1010-einstein-001_anonymized_forum, 21, 1512, 7855, 5862, 1582, 5.19510582011, 3.0, 7.65274151436, 3.0
coursera-20130701-1546-12-003-crypto_anonymized_forum, 13, 801, 4007, 1806, 1748, 5.0024968789, 2.0, 5.55692307692, 2.0
coursera-20130421-2305-12feb-gametheory_anonymized_forum, 7, 807, 5544, 3395, 2942, 6.86988847584, 3.0, 7.4451754386, 3.0
coursera-20130701-1601-12-002-pgm_anonymized_forum, 30, 1491, 4908, 4339, 1069, 3.29175050302, 2.0, 5.53443877551, 2.5
coursera-20130701-1010-crypto-006_anonymized_forum, 14, 422, 1688, 796, 505, 4.0, 3.0, 4.7380952381, 2.0
coursera-20130701-1103-12-001-maththink_anonymized_forum, 55, 3239, 17603, 16236, 4924, 5.43470206854, 2.0, 10.1285090455, 3.0
