CourseName, StartTime, EndTime, NumWeeks, ForumActivity for each week starting two weeks before StartTime
maththink-002, 1361948400, 1369810800, 10, 212, 134, 33232, 105789, 100715, 50257, 39184, 28670, 22437, 22991, 29863, 9318, 6144, 3018, 3397, 2339, 2430, 2272, 1962, 1614, 
childnutrition-001, 1367391600, 1372834800, 6, 81, 29, 67382, 121275, 102966, 88037, 85445, 56774, 15856, 5421, 3067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
genomescience-placeholder, 1349852400, 1363158000, 15, 0, 0, 7095, 13478, 11102, 8230, 7821, 4505, 5199, 4662, 4895, 4402, 3042, 3448, 4169, 5505, 4309, 907, 645, 352, 
cs101, 1334732400, 1340780400, 7, 1, 0, 67283, 122339, 108450, 125234, 116803, 80105, 57100, 20118, 5734, 2573, 1283, 1104, 1093, 1489, 859, 639, 384, 475, 
startup-001, 1371020400, 1374649200, 3, 0, 0, 10, 16023, 22047, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
compilers-003, 1360738800, 1370415600, 10, 0, 12, 1063, 5476, 7460, 7495, 5683, 2360, 2594, 2642, 2548, 2030, 542, 273, 218, 139, 88, 192, 138, 127, 
pgm, 1331103600, 1361948400, 13, 0, 0, 23348, 69268, 92473, 94221, 87340, 72782, 68965, 48928, 48440, 43208, 41523, 29966, 27073, 7272, 2662, 2534, 2303, 2354, 
einstein-001, 1364972400, 1371625200, 9, 0, 0, 35343, 93485, 51898, 35668, 34606, 35938, 26956, 23243, 15401, 7471, 1161, 1179, 736, 0, 0, 0, 0, 0, 
intrologic-2012-002, 1348038000, 1354086000, 10, 0, 0, 11414, 34721, 40537, 33770, 18422, 10753, 11192, 10742, 11694, 3682, 362, 798, 164, 286, 85, 118, 78, 53, 
algo2-2012-001, 1354086000, 1361343600, 11, 0, 0, 12887, 38218, 42974, 30980, 14777, 26351, 19310, 24319, 23662, 14745, 7558, 1302, 1126, 768, 624, 664, 668, 487, 
algo-2012-002, 1338966000, 1344409200, 9, 0, 0, 10931, 38551, 49576, 37040, 31460, 21825, 20415, 14858, 9515, 3715, 2429, 1515, 1047, 980, 959, 1162, 1202, 828, 
automata, 1334732400, 1340175600, 8, 0, 0, 9363, 24144, 27447, 24127, 15356, 12376, 10922, 7278, 3171, 539, 497, 319, 331, 322, 226, 225, 232, 174, 
crypto-005, 1357714800, 1363762800, 9, 0, 0, 12164, 34287, 30605, 27135, 20485, 16238, 16261, 12150, 6801, 2862, 526, 364, 406, 239, 155, 0, 0, 0, 
gamification-placeholder, 1345618800, 1350457200, 7, 0, 1, 74824, 115540, 153357, 101173, 70625, 48133, 52071, 12788, 2895, 2057, 1293, 970, 918, 774, 629, 588, 530, 324, 
intrologic, 1334732400, 1341385200, 8, 0, 0, 12944, 39010, 47634, 16573, 14843, 9640, 10029, 7843, 609, 233, 131, 118, 138, 91, 68, 43, 53, 60, 
ml, 1334732400, 1352876400, 12, 0, 0, 53824, 166176, 188375, 148245, 136837, 95902, 99546, 108239, 97280, 89262, 76670, 55657, 22782, 19015, 18881, 11636, 9480, 9279, 
operations-placeholder, 1348038000, 1354690800, 10, 20, 33, 73544, 96711, 79667, 88419, 68615, 59949, 48637, 41747, 22333, 28215, 6601, 7011, 4242, 2624, 3105, 3983, 2262, 1150, 
gametheory-2012-002, 1357110000, 1363158000, 10, 0, 0, 51489, 167709, 146329, 60012, 50132, 48573, 35321, 34964, 23591, 19635, 2360, 1989, 1780, 1600, 1317, 805, 0, 0, 
intrologic-003, 1364367600, 1369810800, 9, 0, 0, 8307, 40488, 46879, 22160, 11560, 11451, 9500, 13633, 5810, 653, 500, 519, 293, 161, 0, 0, 0, 0, 
design-placeholder, 1351062000, 1367996400, 8, 0, 0, 3, 2344, 11700, 1254, 525, 376, 301, 303, 213, 74, 70, 83, 57, 48, 35, 30, 13, 9, 
crypto-2012-002, 1338966000, 1345014000, 9, 0, 0, 21225, 53716, 41262, 34543, 28748, 22617, 19332, 12626, 7191, 3894, 814, 594, 402, 256, 393, 324, 285, 197, 
crypto-2012-003, 1345618800, 1351666800, 9, 0, 0, 22151, 53738, 40335, 37589, 29111, 21754, 17781, 12301, 7338, 3271, 693, 418, 231, 311, 243, 161, 180, 149, 
organalysis-2012-001, 1348038000, 1357110000, 13, 0, 41, 62950, 180778, 144933, 90990, 67480, 51329, 40043, 38706, 44889, 23475, 30378, 36145, 21321, 3716, 2982, 3277, 3141, 2748, 
pgm-003, 1365577200, 1372230000, 10, 0, 0, 6373, 48979, 51329, 40171, 36586, 32518, 30313, 24881, 24704, 18656, 14019, 6385, 2646, 0, 0, 0, 0, 0, 
algo, 1331103600, 1335942000, 8, 1, 0, 2140, 31332, 51232, 71658, 63930, 45803, 31053, 24406, 15497, 2029, 1186, 1023, 725, 885, 874, 786, 730, 618, 
